,DHSCLUST,DHSREGNA,LATNUM,LONGNUM,geometry,elementary_access,improved_access,limited_access,other
153,811,Inhambane,-21.5814341959,35.1732639676,POINT (35.17326396800007 -21.58143419599998),3.0,25.0,,
154,812,Inhambane,-24.1707185188,35.1697448107,POINT (35.16974481100004 -24.17071851899993),16.0,,12.0,
155,813,Inhambane,-22.4601072198,33.7034030301,POINT (33.70340303000006 -22.46010721999994),19.0,,9.0,
156,814,Inhambane,-23.1305870018,35.4202948221,POINT (35.42029482200007 -23.13058700199997),4.0,,24.0,
157,815,Inhambane,-22.8450543353,35.0759287855,POINT (35.07592878500003 -22.84505433499993),10.0,,17.0,
158,816,Inhambane,-23.6071866486,35.3377015834,POINT (35.33770158300007 -23.60718664899997),5.0,3.0,20.0,
159,817,Inhambane,-24.0590946124,34.6957231588,POINT (34.69572315900007 -24.05909461199997),2.0,26.0,,
160,818,Inhambane,-22.3887590192,35.4135579978,POINT (35.41355799800004 -22.38875901899996),26.0,,2.0,
161,819,Inhambane,-24.6217441328,34.6793489314,POINT (34.67934893100005 -24.62174413299994),2.0,,26.0,
162,820,Inhambane,-24.7826983303,34.5707252711,POINT (34.57072527100007 -24.78269832999996),13.0,,15.0,
163,901,Gaza,-25.0337003118,33.6287579286,POINT (33.62875792900007 -25.03370031199995),,27.0,,
164,902,Gaza,-25.0384592711,33.6976805903,POINT (33.69768059000006 -25.03845927099997),3.0,24.0,,
165,903,Gaza,-25.0762121648,33.6502874421,POINT (33.65028744200004 -25.07621216499996),,26.0,,
166,904,Gaza,-25.0237330691,33.0881527315,POINT (33.08815273200003 -25.02373306899995),3.0,25.0,,
167,905,Gaza,-24.6841090953,33.5323479669,POINT (33.53234796700008 -24.68410909499994),3.0,24.0,1.0,
168,906,Gaza,-24.530816935,32.9994160279,POINT (32.99941602800004 -24.53081693499996),,28.0,,
169,907,Gaza,-24.5439893283,33.0105249302,POINT (33.01052493000003 -24.54398932799995),,28.0,,
170,908,Gaza,-24.9266003851,33.3874919874,POINT (33.38749198700003 -24.92660038499997),5.0,23.0,,
171,909,Gaza,-24.9905569399,33.0145206587,POINT (33.01452065900003 -24.99055693999998),6.0,17.0,4.0,
172,910,Gaza,-24.5816427196,33.3114087751,POINT (33.31140877500007 -24.58164271999993),5.0,,23.0,
173,911,Gaza,-24.7541433294,33.620086405,POINT (33.62008640500005 -24.75414332899993),7.0,7.0,13.0,
174,912,Gaza,-24.6919508058,32.9902715625,POINT (32.99027156200003 -24.69195080599997),10.0,,18.0,
175,913,Gaza,-24.6909619565,33.2879898272,POINT (33.28798982700005 -24.69096195699996),17.0,4.0,7.0,
176,914,Gaza,-24.004835204,33.2499306211,POINT (33.24993062100003 -24.00483520399996),2.0,,25.0,
177,915,Gaza,-24.6748468077,34.1156217254,POINT (34.11562172500004 -24.67484680799993),2.0,,26.0,
